city,year,rape_cases,rape_rate,attempt_rape_cases,attempt_rape_rate,assault_cases,assault_rate,insult_modesty_cases,insult_modesty_rate,kidnapping_cases,kidnapping_rate,acid_attack_cases,acid_attack_rate,total_crime_cases,total_crime_rate
Ahmedabad (Gujarat),2022,104,3.5,0,0.0,151,5.0,2,0.1,168,5.6,5,0.2,1452,48.3
Bengaluru (Karnataka),2022,151,3.7,0,0.0,757,18.7,29,0.7,613,15.1,5,0.1,3924,96.7
Chennai (Tamil Nadu),2022,36,0.8,0,0.0,139,3.2,14,0.3,7,0.2,1,0.0,736,17.1
Coimbatore (Tamil Nadu),2022,7,0.7,0,0.0,10,0.9,0,0.0,3,0.3,0,0.0,138,12.9
Delhi City,2022,1204,15.9,4,0.1,2002,26.4,387,5.1,3909,51.6,5,0.1,14158,186.9
Ghaziabad (Uttar Pradesh),2022,68,6.2,0,0.0,130,11.8,0,0.0,51,4.6,2,0.2,1063,96.5
Hyderabad (Telangana),2022,104,2.8,0,0.0,468,12.4,207,5.5,346,9.2,0,0.0,3145,83.6
Indore (Madhya Pradesh),2022,174,16.8,2,0.2,219,21.1,20,1.9,505,48.6,1,0.1,1809,174.3
Jaipur (Rajasthan),2022,497,34.2,27,1.9,613,42.2,5,0.3,481,33.1,0,0.0,3479,239.3
Kanpur (Uttar Pradesh),2022,86,6.4,1,0.1,366,27.4,1,0.1,241,18.1,2,0.1,2099,157.2
Kochi (Kerala),2022,97,9.0,2,0.2,327,30.4,66,6.1,9,0.8,0,0.0,754,70.1
Kolkata (West Bengal),2022,11,0.2,0,0.0,241,3.5,250,3.7,304,4.5,2,0.0,1890,27.8
Kozhikode (Kerala),2022,42,3.9,2,0.2,236,22.2,37,3.5,31,2.9,0,0.0,759,71.3
Lucknow (Uttar Pradesh),2022,156,11.3,0,0.0,387,28.0,0,0.0,293,21.2,0,0.0,2231,161.4
Mumbai (Maharashtra),2022,370,4.3,1,0.0,1859,21.8,647,7.6,1164,13.7,1,0.0,6176,72.5
Nagpur (Maharashtra),2022,115,9.4,0,0.0,230,18.8,12,1.0,370,30.3,1,0.1,1259,103.0
Patna (Bihar),2022,54,5.6,0,0.0,61,6.4,0,0.0,243,25.3,0,0.0,812,84.7
Pune (Maharashtra),2022,305,12.8,0,0.0,474,19.8,40,1.7,567,23.7,0,0.0,2074,86.8
Surat (Gujarat),2022,52,2.6,0,0.0,61,3.1,1,0.1,168,8.5,0,0.0,797,40.4
Ahmedabad (Gujarat),2023,109,3.6,0,0.0,140,4.7,3,0.1,169,5.6,0,0.0,1360,45.3
Bengaluru (Karnataka),2023,169,4.2,4,0.1,1163,28.7,63,1.6,766,18.9,0,0.0,4870,120.0
Chennai (Tamil Nadu),2023,20,0.5,2,0.0,166,3.9,21,0.5,3,0.1,0,0.0,745,17.3
Coimbatore (Tamil Nadu),2023,6,0.6,0,0.0,23,2.1,0,0.0,1,0.1,0,0.0,244,22.7
Delhi City,2023,1088,14.4,0,0.0,1791,23.6,349,4.6,3952,52.2,6,0.1,13366,176.4
Ghaziabad (Uttar Pradesh),2023,83,7.5,1,0.1,146,13.3,0,0.0,29,2.6,0,0.0,904,82.1
Hyderabad (Telangana),2023,173,4.6,0,0.0,751,20.0,184,4.9,273,7.3,0,0.0,3822,101.5
Indore (Madhya Pradesh),2023,186,17.9,2,0.2,307,29.6,38,3.7,517,49.8,0,0.0,1919,184.9
Jaipur (Rajasthan),2023,573,39.4,19,1.3,732,50.3,0,0.0,632,43.5,2,0.1,3872,266.3
Kanpur (Uttar Pradesh),2023,86,6.4,2,0.1,323,24.2,0,0.0,264,19.8,1,0.1,2071,155.1
Kochi (Kerala),2023,94,8.7,2,0.2,296,27.5,48,4.5,10,0.9,0,0.0,783,72.8
Kolkata (West Bengal),2023,10,0.1,0,0.0,241,3.5,228,3.4,180,2.6,2,0.0,1746,25.7
Kozhikode (Kerala),2023,44,4.1,1,0.1,122,11.5,26,2.4,16,1.5,0,0.0,627,58.9
Lucknow (Uttar Pradesh),2023,151,10.9,1,0.1,298,21.6,13,0.9,708,51.2,3,0.2,2902,209.9
Mumbai (Maharashtra),2023,387,4.5,0,0.0,1672,19.6,606,7.1,1167,13.7,0,0.0,6025,70.7
Nagpur (Maharashtra),2023,132,10.8,0,0.0,371,30.4,15,1.2,427,34.9,0,0.0,1556,127.3
Patna (Bihar),2023,49,5.1,0,0.0,69,7.2,0,0.0,684,71.3,0,0.0,1162,121.2
Pune (Maharashtra),2023,196,8.2,0,0.0,588,24.6,73,3.1,564,23.6,1,0.0,2550,106.7
Surat (Gujarat),2023,50,2.5,0,0.0,49,2.5,0,0.0,170,8.6,0,0.0,869,44.1
